Volcano Name,Country,Location,Latitude,Longitude,Elevation (m),Type,Status
St. Andrew Strait,Papua New Guinea,Admiralty Is-SW Paci,-2.38,147.35,270,Complex volcano,Historical
Baluan,United States,Admiralty Is-SW Paci,-2.57,147.28,254,Stratovolcano,Holocene
Central Bismarck Sea,United States,Admiralty Is-SW Paci,-3.03,147.78,-1300,Submarine volcano,Hydrophonic
Dacht-I-Navar Group,Afghanistan,Afghanistan,33.95,67.92,3800,Lava dome,Holocene
Vakak Group,Afghanistan,Afghanistan,34.25,67.97,3190,Volcanic field,Holocene
Karisimbi,"Congo, DRC",Africa-C,-1.506,29.45,4490,Stratovolcano,Holocene
May-ya-moto,"Congo, DRC",Africa-C,-0.93,29.33,950,Fumarole field,Fumarolic
Nyamulagira,"Congo, DRC",Africa-C,-1.408,29.2,3058,Shield volcano,Historical
Nyiragongo,"Congo, DRC",Africa-C,-1.52,29.25,3470,Stratovolcano,Historical
Tshibinda,"Congo, DRC",Africa-C,-2.32,28.75,1460,Cinder cone,Holocene
Visoke,Rwanda,Africa-C,-1.458,29.485,3696,Stratovolcano,Historical
Bufumbira,Uganda,Africa-C,-1.304,29.683,2100,Cinder cone,Holocene
Bunyaruguru,Uganda,Africa-C,-0.2,30.08,1554,Explosion crater,Holocene
Fort Portal,Uganda,Africa-C,0.7,30.25,1615,Tuff cone,Holocene
Katunga,Uganda,Africa-C,-0.471,30.191,1707,Tuff cone,Holocene
Katwe-Kikorongo,Uganda,Africa-C,-0.08,29.92,1067,Tuff cone,Holocene
Kyatwa,Uganda,Africa-C,0.45,30.25,1430,Tuff cone,Holocene
Muhavura,Uganda,Africa-C,-1.383,29.678,4103,Stratovolcano,Holocene
"Barrier, The",Kenya,Africa-E,2.32,36.57,1032,Shield volcano,Historical
Central Island,Kenya,Africa-E,3.496,36.04,518,Stratovolcano,Holocene
Chyulu Hills,Kenya,Africa-E,-2.68,37.88,2188,Volcanic field,Anthropology
"Eburru, Ol Doinyo",Kenya,Africa-E,-0.65,36.22,2856,Complex volcano,Holocene
Elmenteita Badlands,Kenya,Africa-E,-0.52,36.27,2126,Pyroclastic cone,Holocene
Emuruangogolak,Kenya,Africa-E,1.5,36.33,1285,Shield volcano,Radiocarbon
Homa Mountain,Kenya,Africa-E,-0.38,34.5,1751,Complex volcano,Holocene
Korosi,Kenya,Africa-E,0.77,36.12,1446,Shield volcano,Holocene
Longonot,Kenya,Africa-E,-0.914,36.446,2776,Stratovolcano,Anthropology
Marsabit,Kenya,Africa-E,2.32,37.97,1707,Shield volcano,Holocene
Mega Volcanic Field,Kenya,Africa-E,3.971,38.213,1500,Pyroclastic cone,Holocene
Menengai,Kenya,Africa-E,-0.2,36.07,2278,Shield volcano,Tephrochronology
Namarunu,Kenya,Africa-E,1.98,36.43,817,Shield volcano,Tephrochronology
North Island,Kenya,Africa-E,4.059,36.049,490,Tuff cone,Holocene
Nyambeni Hills,Kenya,Africa-E,0.23,37.87,750,Shield volcano,Holocene
Ol Kokwe,Kenya,Africa-E,0.62,36.075,1130,Shield volcano,Holocene
Olkaria,Kenya,Africa-E,-0.904,36.292,2434,Pumice cone,Radiocarbon
Paka,Kenya,Africa-E,0.92,36.18,1697,Shield volcano,Ar/Ar
Segererua Plateau,Kenya,Africa-E,1.57,37.9,699,Pyroclastic cone,Holocene
Silali,Kenya,Africa-E,1.15,36.23,1528,Shield volcano,Ar/Ar
South Island,Kenya,Africa-E,2.63,36.6,800,Stratovolcano,Historical
Suswa,Kenya,Africa-E,-1.151,36.357,2356,Shield volcano,Holocene
Igwisi Hills,Tanzania,Africa-E,-4.889,31.933,1146,Tuff cone,Holocene
Izumbwe-Mpoli,Tanzania,Africa-E,-8.93,33.4,1568,Pyroclastic cone,Holocene
Kilimanjaro,Tanzania,Africa-E,-3.07,37.35,5895,Stratovolcano,Holocene
Kyejo,Tanzania,Africa-E,-9.229,33.792,2176,Stratovolcano,Historical
"Lengai, Ol Doinyo",Tanzania,Africa-E,-2.764,35.914,2962,Stratovolcano,Historical
Meru,Tanzania,Africa-E,-3.244,36.75,4550,Stratovolcano,Historical
Ngozi,Tanzania,Africa-E,-8.989,33.554,2614,Caldera,Holocene
Rungwe,Tanzania,Africa-E,-9.135,33.668,2953,Stratovolcano,Holocene
SW Usangu Basin,Tanzania,Africa-E,-8.75,33.8,2179,Lava dome,Holocene
Atakor Volcanic Field,Algeria,Africa-N,23.33,5.83,2918,Scoria cones,Holocene
Manzaz Volcanic Field,Algeria,Africa-N,23.92,5.83,1672,Scoria cones,Holocene
